Index,Song Title,Artist
831,A' Soalin',Paul & Mary
5914,Adeste Fideles (O Come All Ye Faithful),Associated Glee Clubs of America
8907,All Alone on Christmas,Darlene Love
1298,All I Really Want for Christmas,Steven Curtis Chapman
5979,All I Want for Christmas Is a Real Good Tan,Kenny Chesney
5935,All I Want for Christmas Is My Two Front Teeth,Spike Jones and his City Slickers
6188,All I Want for Christmas Is You,Carla Thomas
3987,All I Want for Christmas Is You,Vince Vance & The Valiants
4400,All I Want for Christmas Is You,Mariah Carey
6470,All I Want for Christmas Is You,Lady Antebellum
7727,All I Want for Christmas Is You,Newsboys
5658,All I Want for Christmas Is You,Justin Bieber with Mariah Carey
6846,All I Want for Christmas Is You,Michael Bublé
7865,All My Love for Christmas,Lonestar
4545,Amen,The Impressions
8090,Angels Among Us,Alabama
6595,Angels We Have Heard on High,Sonicflood
7472,Another Lonely Christmas,Prince and The Revolution
2547,Auld Lang Syne,Peerless Quartet
4475,Away in a Manger,Reba McEntire
658,Babes in Toyland/March of the Toys,Tommy Dorsey Orchestra
8179,A Baby Changes Everything,Faith Hill
9903,Baby It's Cold Outside,Dinah Shore & Buddy Clark
9862,Baby It's Cold Outside,Margaret Whiting & Johnny Mercer
1519,Baby It's Cold Outside,Ella Fitzgerald & Louis Jordan & His Tympany Five
4791,Baby It's Cold Outside,Don Cornell & Laura Leslie
7992,Baby It's Cold Outside,Homer & Jethro with June Carter
6012,Baby It's Cold Outside,Dean Martin
2387,Baby It's Cold Outside,Ray Charles & Betty Carter
6768,Baby It's Cold Outside,Lady Antebellum
568,Baby It's Cold Outside,Glee Cast featuring Chris Colfer and Darren Criss
5962,Baby It's Cold Outside,Idina Menzel and Michael Buble
2115,Baby Jesus Is Born,Garth Brooks
695,Baby's First Christmas,Connie Francis
3177,Back Door Santa,Clarence Carter
353,Barefoot Santa Claus,Sonny James (The Southern Gentleman)
4614,Because It's Christmas (For All the Children),Barry Manilow
3416,Believe,Josh Groban
7267,The Bell That Couldn't Jingle,Bobby Vinton
5831,Belleau Wood,Garth Brooks
603,The Bells of St. Mary's,Bing Crosby
5823,Better Days,Goo Goo Dolls
6608,The Blessings,Alabama
7313,Blue Christmas,Ernest Tubb
4603,Blue December,Hugo Winterhalter and his Orchestra
7351,Blue Holiday,The Shirelles
4717,Blue Lonely Winter,Jimmy Newman
237,Blue Winter,Connie Francis
8568,Boogie Woogie Santa Claus,Mabel Scott
4619,Breath of Heaven (Mary's Song),Amy Grant
9196,Call Me Claus,Garth Brooks
7654,Candy Cane Children,The White Stripes
6660,Candy Cane Christmas,Darius Rucker
1166,Carol of the Bells,John Tesh
8770,Caroling Caroling,Nat King Cole
8564,Celebrate Me Home,Kenny Loggins
6866,Cherry Cherry Christmas,Neil Diamond
3057,Child of God,Bobby Darin
4537,Child of Winter,The Beach Boys
7391,Children Go Where I Send Thee,Kenny Rogers featuring Home Free
2820,Children's Christmas Song,The Supremes
1402,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks
1114,C-H-R-I-S-T-M-A-S Eddy Arnold, the Tennessee Plowboy and his Guitar
5185,Christmas Ain't Christmas (Without the One You Love),The O'Jays
3573,Christmas All Over Again,Tom Petty and the Heartbreakers
6923,Christmas Alphabet,The McGuire Sisters
7831,Christmas at Ground Zero,Weird Al Yankovic
9204,Christmas at K-Mart,Root Boy Slim
9739,Christmas at the Zoo,The Flaming Lips
1568,Christmas Auld Lang Syne,Bobby Darin
5981,Christmas (Baby Please Come Home),Darlene Love
6421,Christmas (Baby Please Come Home),U2
4264,Christmas (Baby Please Come Home),Mariah Carey
7167,Christmas Blues,Canned Heat
3292,The Christmas Blues,Dean Martin
3748,Christmas Canon,Trans-Siberian Orchestra
10133,Christmas Can't Be Far Away,Eddy Arnold and his Guitar
50,Christmas Can't Be Very Far Away,Amy Grant
8515,Christmas Carol,Skip Ewing
1340,Christmas Carols by the Old Corral,Tex Ritter
5166,Christmas Celebration,B. B. King
4225,Christmas C'mon,Lindsey Stirling featuring Becky G
8727,Christmas (Comes But Once a Year),Amos Milburn
1744,Christmas Cookies,George Strait
297,Christmas Day,Eddie Fisher
1105,Christmas Dinner,Tennessee Ernie Ford
9889,Christmas Dragnet (Parts I & II),Stan Freberg with Daws Butler
10495,Christmas Dream,Perry Como
7338,Christmas Dreaming (A Little Early This Year),Frank Sinatra
6726,Christmas Eve,Kelly Clarkson
10627,Christmas Eve in My Hometown,Bobby Vinton
7287,Christmas Eve/Sarajevo 12/24,Savatage
5750,Christmas for Cowboys,John Denver
7097,Christmas in America,Pat Benatar
6526,Christmas in Dixie,Alabama
1838,Christmas in Hollis,Run-D.M.C.
5767,Christmas in Killarney,Dennis Day
3607,Christmas in My Hometown,Sonny James
2763,Christmas in My Home Town[137],Charley Pride
1588,Christmas in New Orleans,Louis Armstrong with the Benny Carter Orchestra
6207,Christmas in the Caribbean,Jimmy Buffett
8721,Christmas in the City,Elizabeth Chan
1375,Christmas in Your Arms,Steve Wariner
5978,Christmas Is ,Percy Faith
9964,Christmas Is ,Jim Brickman featuring Mark Masri
1020,Christmas Is for Children,Glen Campbell
2014,Christmas Is Going to the Dogs,Eels
3126,Christmas Is Just a Song for Us This Year,Louise Mandrell and R.C. Bannon
6856,Christmas Is Just Around the Corner,Barry Manilow
6320,Christmas Is Now Drawing Near at Hand,Steve Winwood
3231,Christmas is the Time to Say 'I Love You',Billy Squier
7076,Christmas Island,The Andrews Sisters with Guy Lombardo and His Royal Canadians
5376,Christmas Kisses,The Bookends
6152,Christmas Lights,Coldplay
7737,A Christmas Love,Johnny Kaye with the Morty Jay Orchestra
6741,Christmas Lullaby,Cary Grant
1947,Christmas Medley,The Salsoul Orchestra
9197,Christmas Memories,Frank Sinatra
5854,Christmas Must Be Tonight,The Band
8127,Christmas Night in Harlem,Louis Armstrong with the Benny Carter Orchestra.
3638,Christmas Party,Two Ton Baker the Merry Music Maker
9099,Christmas Rappin',Kurtis Blow
6858,The Christmas Shoes,NewSong
1416,Christmas Shopping,Buck Owens and his Buckaroos
4583,Christmas Song,Dave Matthews Band
10035,The Christmas Song,Angel
4347,The Christmas Song (Merry Christmas to You),The King Cole Trio
9650,The Christmas Song (Merry Christmas to You),Nat King Cole
2649,The Christmas Song (Merry Christmas to You),Nat King Cole
1667,The Christmas Song (Merry Christmas to You),Les Brown and His Orchestra
8170,The Christmas Song (Merry Christmas to You),James Brown & The Famous Flames
6011,The Christmas Song (Merry Christmas to You),Herb Alpert
8185,The Christmas Song (Merry Christmas to You),Natalie Cole
8852,The Christmas Song (Merry Christmas to You),Toni Braxton
3535,The Christmas Song (Merry Christmas to You),Reba McEntire
3579,The Christmas Song (Merry Christmas to You),Trace Adkins
2939,The Christmas Song (Merry Christmas to You),Martina McBride
3798,The Christmas Song (Merry Christmas to You),Christina Aguilera
1494,The Christmas Song (Merry Christmas to You),Michael Bublé
7565,Christmas Spirit,Richard Marx
8830,Christmas Tears,Freddy King
7185,Christmas This Year,Mêlée
5431,Christmas Through Your Eyes,Gloria Estefan
3702,Christmas Time ,Bryan Adams
8072,Christmas Time ,John Anderson
2297,Christmas Time ,Christina Aguilera
5327,Christmas Time (Is Here Again),The Beatles
647,Christmas Time Is Here ,Vince Guaraldi Trio
9867,Christmas Time Is Here ,Ray Parker, Jr.
10419,Christmas Time's A-Comin',Sammy Kershaw
2433,Christmas Tonight,Dave Barnes with Hillary Scott
3570,Christmas Tree,Lady Gaga featuring Space Cowboy
2207,The Christmas Tree Angel (Sweet Angie),Fran Allison
6986,Christmas Tree Farm,Taylor Swift
3383,Christmas Vacation,Mavis Staples
10003,The Christmas Waltz,Harry Connick, Jr.
1112,Christmas Where You Are,Five for Fighting featuring Jim Brickman
524,Christmas Will Be Just Another Lonely Day,Brenda Lee
9538,A Christmas Wish,Bobby Goldsboro
1618,Christmas with the Devil,Spinal Tap
5977,Christmas Without You,Kenny Rogers and Dolly Parton
9719,Christmas Wrapping,The Waitresses
5505,Christmastime ,Aimee Mann with Michael Penn
